105,2
102,12
101,22
100,22
100,23
100,26
99,28
97,32
96,38
100,54
104,69
103,73
102,76
102,78
101,79
100,79
100,79
98,83
95,87
93,89
91,90
91,92
90,93
89,93
88,93
86,96
82,98
81,98
80,98
74,98
67,97
60,100
54,104
52,106
49,107
48,107
47,107
47,108
47,108
37,109
29,106
27,105
26,103
33,96
43,91
50,85
51,75
50,73
48,70
45,67
42,63
40,61
38,59
33,54
27,48
26,47
25,46
24,46
22,45
21,44
20,43
12,42
4,41
-1,41
-7,42
-15,43
-22,44
-25,45
-29,46
-29,47
-30,47
-33,49
-36,51
-37,67
-37,83
-37,83
-38,84
-39,87
-40,90
-40,92
-41,93
-42,94
-44,95
-44,97
-45,98
-46,98
-47,98
-49,100
-51,101
-59,102
-68,98
-64,91
-57,86
-56,78
-57,69
-58,69
-59,70
-71,82
-84,95
-86,97
-88,99
-89,100
-91,100
-92,101
-93,102
-94,102
-95,102
-96,103
-98,103
-103,104
-111,104
-115,103
-118,100
-112,93
-103,89
-100,87
-97,83
-95,82
-94,80
-94,79
-94,78
-93,78
-92,77
-91,74
-90,70
-90,70
-89,69
-87,65
-86,61
-85,61
-85,60
-85,59
-84,57
-82,51
-82,43
-84,40
-87,38
-87,38
-88,37
-96,31
-103,22
-104,22
-104,21
-104,21
-104,20
-106,19
-107,17
-108,14
-109,10
-110,10
-110,9
-112,4
-117,-1
-120,-3
-123,-5
-124,-6
-125,-8
-127,-10
-130,-13
-130,-14
-131,-15
-132,-16
-132,-18
-133,-29
-133,-42
-135,-51
-135,-60
-126,-57
-118,-52
-109,-52
-98,-53
-95,-52
-93,-52
-92,-52
-90,-53
-88,-53
-86,-54
-84,-54
-83,-55
-78,-58
-72,-59
-73,-48
-75,-36
-74,-35
-72,-35
-71,-34
-70,-34
-68,-34
-66,-35
-65,-35
-63,-36
-62,-36
-62,-37
-55,-38
-48,-40
-41,-42
-34,-44
-13,-46
9,-47
27,-47
44,-46
50,-45
55,-45
55,-44
56,-44
58,-44
60,-44
60,-43
61,-43
65,-42
69,-41
72,-40
75,-39
75,-38
76,-38
78,-37
80,-36
82,-35
84,-33
86,-31
87,-30
88,-30
89,-30
91,-28
93,-27
93,-26
94,-26
96,-25
98,-24
99,-23
101,-23
115,-22
128,-26
130,-27
132,-29
134,-30
136,-32
137,-34
137,-36
138,-37
139,-38
139,-40
139,-43
140,-44
140,-46
139,-53
138,-60
138,-62
138,-64
137,-64
137,-64
137,-66
137,-68
135,-73
133,-80
132,-83
131,-86
131,-88
130,-90
130,-92
129,-94
127,-102
127,-114
128,-114
128,-115
131,-119
136,-122
141,-119
144,-114
144,-113
144,-112
145,-110
145,-106
146,-105
146,-103
146,-100
147,-98
147,-97
147,-96
149,-93
150,-89
150,-88
150,-87
151,-86
152,-84
152,-83
152,-82
153,-82
153,-82
154,-78
155,-75
156,-75
156,-74
157,-72
158,-69
162,-51
161,-32
159,-28
158,-25
156,-22
154,-20
152,-17
149,-15
148,-13
147,-12
146,-12
145,-12
144,-10
142,-9
140,-8
139,-7
137,-6
133,-5
133,-4
132,-4
131,-4
131,-4
129,-3
126,-2
124,-2
122,-2
122,-1
122,-1
113,0
105,2
